|dates|Gilpin_Colorado_UnitedStates.BLS_EmployedPopulation.data|Gilpin_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Gilpin_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Gilpin_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Gilpin_Colorado_UnitedStates.BLS_UnemploymentRate.data|Gilpin_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Gilpin_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Gilpin_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-08-26|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-27|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-28|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-29|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-30|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-31|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-09-01|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-02|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-03|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-04|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-05|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-06|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-07|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-08|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-09|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-10|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-11|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-12|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
0|2020-09-13|3614.0|0|341.0|0|8.621997471554995|0|3955.0|0
