|dates|Cass_Indiana_UnitedStates.BLS_EmployedPopulation.data|Cass_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Cass_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Cass_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Cass_Indiana_UnitedStates.BLS_UnemploymentRate.data|Cass_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Cass_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Cass_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-05-12|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-13|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-14|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-15|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-16|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-17|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-18|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-19|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-20|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-21|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-22|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-23|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-24|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-25|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-26|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-27|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-28|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-29|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-30|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-31|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-06-01|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
0|2020-06-02|16047.0|0|1733.0|0|9.746906636670417|0|17780.0|0
