|dates|Highland_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Highland_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Highland_Virginia_UnitedStates.Male_Total_Population.data|Highland_Virginia_UnitedStates.Male_Total_Population.missing|Highland_Virginia_UnitedStates.Female_Total_Population.data|Highland_Virginia_UnitedStates.Female_Total_Population.missing|Highland_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Highland_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-08-06|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-07|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-08|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-09|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-10|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-11|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-12|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-13|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-14|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-15|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-16|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-17|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-18|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-19|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-20|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-21|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-22|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-23|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-24|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-25|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-26|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-27|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-28|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-29|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-30|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-31|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-01|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-02|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-03|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-04|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-05|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-06|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-07|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-08|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-09|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-10|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-11|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-12|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-13|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-14|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-15|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-16|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-17|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-18|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-19|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-20|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-21|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-22|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-23|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-24|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-25|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-26|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-27|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-28|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-29|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-09-30|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-01|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-02|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-03|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-04|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-05|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-06|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-07|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-08|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-09|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-10|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-11|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-12|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-13|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-14|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-15|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-16|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-17|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-18|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-19|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-20|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-21|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-22|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-23|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-24|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-25|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-26|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-27|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-28|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-29|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-30|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-10-31|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-01|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-02|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-11-03|760.0|0|1100.0|0|1110.0|0|290.0|0
