|dates|Marinette_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Marinette_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Marinette_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Marinette_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Marinette_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Marinette_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Marinette_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Marinette_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-08-30|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-31|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-09-01|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-02|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-03|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-04|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-05|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-06|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-07|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-08|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-09|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-10|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-11|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-12|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-13|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-14|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-15|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-16|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-17|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-18|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-19|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-20|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-21|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-22|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-23|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
0|2020-09-24|18865.0|0|1108.0|0|5.547489110298904|0|19973.0|0
