|dates|SantaCruz_Arizona_UnitedStates.BLS_EmployedPopulation.data|SantaCruz_Arizona_UnitedStates.BLS_EmployedPopulation.missing|SantaCruz_Arizona_UnitedStates.BLS_UnemployedPopulation.data|SantaCruz_Arizona_UnitedStates.BLS_UnemployedPopulation.missing|SantaCruz_Arizona_UnitedStates.BLS_UnemploymentRate.data|SantaCruz_Arizona_UnitedStates.BLS_UnemploymentRate.missing|SantaCruz_Arizona_UnitedStates.BLS_LaborForcePopulation.data|SantaCruz_Arizona_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-09-30|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-10-01|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-02|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-03|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-04|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-05|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-06|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-07|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-08|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-09|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-10|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-11|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-12|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-13|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-14|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-15|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-16|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-17|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-18|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-19|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-20|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-21|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-22|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-23|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-24|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-25|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-26|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-27|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
0|2020-10-28|16933.0|0|1978.0|0|10.4595209137539|0|18911.0|0
