|dates|Wasatch_Utah_UnitedStates.BLS_EmployedPopulation.data|Wasatch_Utah_UnitedStates.BLS_EmployedPopulation.missing|Wasatch_Utah_UnitedStates.BLS_UnemployedPopulation.data|Wasatch_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Wasatch_Utah_UnitedStates.BLS_UnemploymentRate.data|Wasatch_Utah_UnitedStates.BLS_UnemploymentRate.missing|Wasatch_Utah_UnitedStates.BLS_LaborForcePopulation.data|Wasatch_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-09-12|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-13|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-14|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-15|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-16|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-17|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-18|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-19|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-20|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-21|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-22|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-23|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-24|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-25|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-26|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-27|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-28|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-29|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-30|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-10-01|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-02|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-03|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-04|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-05|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-06|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-07|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-08|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-09|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-10|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
0|2020-10-11|15300.0|0|651.0|0|4.081248824525108|0|15951.0|0
