|dates|Cumberland_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Cumberland_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Cumberland_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Cumberland_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Cumberland_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Cumberland_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Cumberland_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Cumberland_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-11-06|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-07|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-08|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-09|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-10|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-11|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-12|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-13|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-14|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-15|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-16|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-17|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-18|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-19|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-20|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-21|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-22|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
