|dates|Ocean_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Ocean_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Ocean_NewJersey_UnitedStates.Male_Total_Population.data|Ocean_NewJersey_UnitedStates.Male_Total_Population.missing|Ocean_NewJersey_UnitedStates.Female_Total_Population.data|Ocean_NewJersey_UnitedStates.Female_Total_Population.missing|Ocean_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.data|Ocean_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-08-21|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-22|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-23|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-24|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-25|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-26|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-27|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-28|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-29|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-30|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-31|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-01|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-02|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-03|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-04|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-05|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-06|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-07|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-08|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-09|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-10|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-11|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-12|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-13|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-14|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-15|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-16|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-17|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-18|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-19|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-20|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-21|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-22|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-23|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-24|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-25|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-26|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-27|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-28|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-29|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-09-30|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-01|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-02|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-03|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-04|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-05|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-06|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-07|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-08|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-09|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-10|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-11|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-12|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-13|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-14|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-15|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-16|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-17|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-18|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-19|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-20|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-21|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-22|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-23|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-24|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-25|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-26|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-27|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-28|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-29|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-30|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-10-31|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-01|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-02|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-03|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-04|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-05|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-06|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-07|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-08|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-09|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-11-10|135652.0|0|290366.0|0|311285.0|0|144247.0|0
