|dates|Hinsdale_Colorado_UnitedStates.AveragePrecipitationTotal.data|Hinsdale_Colorado_UnitedStates.AveragePrecipitationTotal.missing|Hinsdale_Colorado_UnitedStates.AveragePrecipitation.data|Hinsdale_Colorado_UnitedStates.AveragePrecipitation.missing|Hinsdale_Colorado_UnitedStates.AverageWindDirection.data|Hinsdale_Colorado_UnitedStates.AverageWindDirection.missing|Hinsdale_Colorado_UnitedStates.AverageWindSpeed.data|Hinsdale_Colorado_UnitedStates.AverageWindSpeed.missing
0|2020-05-30|0.0|0|0.0|0|93.07291666666667|0|4.510416666666667|0
0|2020-05-31|0.0|0|0.0023958333333333336|0|99.0625|0|5.145833333333333|0
0|2020-06-01|0.0|0|0.000625|0|121.45833333333333|0|4.28125|0
0|2020-06-02|0.0|0|0.0|0|97.44791666666667|0|3.203125|0
0|2020-06-03|0.0|0|0.0|0|171.35416666666666|0|5.598958333333333|0
0|2020-06-04|0.0|0|0.0|0|178.54166666666666|0|6.947916666666667|0
0|2020-06-05|0.0|0|0.0|0|148.64583333333334|0|8.645833333333334|0
0|2020-06-06|0.0|0|0.001666666666666667|0|128.85416666666666|0|12.213541666666666|0
0|2020-06-07|0.0|0|0.0|0|253.90625|0|9.984375|0
0|2020-06-08|0.0|0|0.0|0|211.61458333333334|0|13.557291666666666|0
0|2020-06-09|0.0|0|0.0007291666666666667|0|204.79166666666666|0|6.895833333333333|0
0|2020-06-10|0.0|0|0.0|0|155.67708333333334|0|4.776041666666667|0
0|2020-06-11|0.0|0|0.0|0|171.97916666666666|0|6.666666666666667|0
0|2020-06-12|0.0|0|0.0|0|158.33333333333334|0|7.921875|0
0|2020-06-13|0.0|0|0.00375|0|145.10416666666666|0|10.677083333333334|0
0|2020-06-14|0.0|0|0.0|0|150.46875|0|10.848958333333334|0
0|2020-06-15|0.0|0|0.0|0|105.83333333333333|0|5.822916666666667|0
0|2020-06-16|0.0|0|0.0|0|163.54166666666666|0|11.927083333333334|0
0|2020-06-17|0.0|0|0.0|0|174.47916666666666|0|10.9375|0
0|2020-06-18|0.0|0|0.0|0|153.33333333333334|0|4.28125|0
0|2020-06-19|0.0|0|0.0|0|160.20833333333334|0|6.239583333333333|0
0|2020-06-20|0.0|0|0.0|0|175.20833333333334|0|6.0625|0
0|2020-06-21|0.0|0|0.0|0|173.125|0|6.635416666666667|0
0|2020-06-22|0.0|0|0.0|0|198.54166666666666|0|7.052083333333333|0
0|2020-06-23|0.0|0|0.0|0|199.375|0|5.739583333333333|0
0|2020-06-24|0.0|0|0.0|0|182.91666666666666|0|6.40625|0
0|2020-06-25|0.0|0|0.0|0|117.08333333333333|0|6.192708333333333|0
0|2020-06-26|0.0|0|0.0|0|158.85416666666666|0|6.875|0
0|2020-06-27|0.0|0|0.0|0|146.35416666666666|0|6.1875|0
0|2020-06-28|0.0|0|0.0|0|134.0625|0|7.8125|0
0|2020-06-29|0.0|0|0.0|0|190.625|0|14.25|0
0|2020-06-30|0.0|0|0.0|0|208.95833333333334|0|7.895833333333333|0
0|2020-07-01|0.0|0|0.0|0|133.125|0|7.052083333333333|0
0|2020-07-02|0.0|0|0.0014583333333333334|0|92.23958333333333|0|5.171875|0
0|2020-07-03|0.0|0|0.0003125|0|149.0625|0|5.302083333333333|0
