|dates|VanBuren_Michigan_UnitedStates.BLS_EmployedPopulation.data|VanBuren_Michigan_UnitedStates.BLS_EmployedPopulation.missing|VanBuren_Michigan_UnitedStates.BLS_UnemployedPopulation.data|VanBuren_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|VanBuren_Michigan_UnitedStates.BLS_UnemploymentRate.data|VanBuren_Michigan_UnitedStates.BLS_UnemploymentRate.missing|VanBuren_Michigan_UnitedStates.BLS_LaborForcePopulation.data|VanBuren_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-06-19|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-20|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-21|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-22|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-23|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-24|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-25|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-26|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-27|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-28|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-29|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-30|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-07-01|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-02|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-03|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-04|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-05|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-06|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-07|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-08|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-09|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-10|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-11|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-12|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-13|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-14|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-15|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-16|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-17|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-18|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-19|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-20|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-21|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-22|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-23|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-24|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-25|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-26|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-27|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-28|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-29|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-30|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-07-31|32122.0|0|2670.0|0|7.674177971947574|0|34792.0|0
0|2020-08-01|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-02|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-03|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-04|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-05|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-06|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-07|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-08|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-09|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-10|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-11|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-12|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-13|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-14|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-15|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-16|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-17|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-18|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-19|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-20|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-21|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
0|2020-08-22|32515.0|0|2207.0|0|6.35620067968435|0|34722.0|0
