|dates|Jackson_Colorado_UnitedStates.BLS_EmployedPopulation.data|Jackson_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Jackson_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Jackson_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Jackson_Colorado_UnitedStates.BLS_UnemploymentRate.data|Jackson_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Jackson_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Jackson_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-06-22|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-23|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-24|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-25|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-26|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-27|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-28|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-29|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-30|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-07-01|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-02|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-03|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-04|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-05|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-06|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-07|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-08|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-09|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-10|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-11|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-12|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-13|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-14|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-15|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-16|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-17|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-18|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-19|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-20|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-21|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-22|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-23|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-24|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
0|2020-07-25|948.0|0|32.0|0|3.2653061224489797|0|980.0|0
