|dates|Thurston_Washington_UnitedStates.AveragePrecipitationTotal.data|Thurston_Washington_UnitedStates.AveragePrecipitationTotal.missing|Thurston_Washington_UnitedStates.AveragePrecipitation.data|Thurston_Washington_UnitedStates.AveragePrecipitation.missing|Thurston_Washington_UnitedStates.AverageWindDirection.data|Thurston_Washington_UnitedStates.AverageWindDirection.missing|Thurston_Washington_UnitedStates.AverageWindSpeed.data|Thurston_Washington_UnitedStates.AverageWindSpeed.missing
0|2020-07-16|0.0|0|0.0|0|174.75694444444446|0|7.347222222222222|0
0|2020-07-17|0.0|0|0.0|0|197.91666666666666|0|7.645833333333333|0
0|2020-07-18|0.0|0|0.0|0|78.125|0|4.229166666666667|0
0|2020-07-19|0.0|0|0.0|0|29.583333333333332|0|4.583333333333333|0
0|2020-07-20|0.0|0|0.0|0|46.666666666666664|0|3.3333333333333335|0
0|2020-07-21|0.0|0|0.0|0|151.25|0|6.152777777777779|0
0|2020-07-22|0.0|0|0.0|0|206.7638888888889|0|7.611111111111112|0
0|2020-07-23|0.0|0|0.0|0|215.13888888888889|0|7.736111111111111|0
0|2020-07-24|0.0|0|0.0|0|163.95833333333334|0|4.9375|0
0|2020-07-25|0.0|0|0.0|0|117.29166666666667|0|4.958333333333333|0
0|2020-07-26|0.0|0|0.0|0|42.083333333333336|0|6.666666666666667|0
0|2020-07-27|0.0|0|0.0|0|70.625|0|3.2916666666666665|0
0|2020-07-28|0.0|0|0.0|0|149.89583333333334|0|5.333333333333333|0
0|2020-07-29|0.0|0|0.0|0|62.083333333333336|0|2.0|0
0|2020-07-30|0.0|0|0.0|0|106.66666666666667|0|3.4583333333333335|0
0|2020-07-31|0.0|0|0.0|0|200.0|0|7.958333333333333|0
0|2020-08-01|0.0|0|0.0|0|115.0|0|2.9791666666666665|0
0|2020-08-02|0.0|0|0.0|0|128.75|0|4.333333333333333|0
0|2020-08-03|0.0|0|0.0|0|149.89583333333334|0|4.333333333333333|0
0|2020-08-04|0.0|0|0.0|0|53.81944444444445|0|3.9375|0
0|2020-08-05|0.0|0|0.0|0|145.83333333333334|0|5.666666666666667|0
0|2020-08-06|0.0|0|0.0009027777777777778|0|236.25|0|9.833333333333334|0
0|2020-08-07|0.00125|0|0.0|0|141.66666666666666|0|4.166666666666667|0
0|2020-08-08|0.0|0|0.0|0|170.90277777777774|0|5.006944444444445|0
0|2020-08-09|0.0|0|0.0|0|80.0|0|3.8333333333333335|0
0|2020-08-10|0.0|0|0.0|0|107.5|0|3.875|0
0|2020-08-11|0.0|0|0.0|0|204.79166666666666|0|8.979166666666666|0
0|2020-08-12|0.0|0|0.0|0|175.20833333333334|0|5.673611111111111|0
0|2020-08-13|0.0|0|0.0|0|60.0|0|2.7916666666666665|0
0|2020-08-14|0.0|0|0.0|0|49.166666666666664|0|4.875|0
0|2020-08-15|0.0|0|0.0|0|30.416666666666668|0|7.916666666666667|0
0|2020-08-16|0.0|0|0.0|0|94.16666666666667|0|2.875|0
0|2020-08-17|0.0|0|0.0|0|110.41666666666667|0|4.208333333333333|0
0|2020-08-18|0.0|0|0.0|0|145.83333333333334|0|5.041666666666667|0
0|2020-08-19|0.0|0|0.0|0|129.91666666666666|0|4.258333333333334|0
0|2020-08-20|0.0|0|0.002291666666666667|0|211.66666666666666|0|6.833333333333333|0
0|2020-08-21|0.004166666666666667|0|0.007208333333333335|0|214.8159722222222|0|7.215972222222223|0
0|2020-08-22|0.004791666666666667|0|0.0|0|123.95833333333333|0|5.057291666666667|0
0|2020-08-23|0.0|0|0.0|0|51.25|0|3.7083333333333335|0
0|2020-08-24|0.0|0|0.0|0|95.0|0|3.125|0
0|2020-08-25|0.0|0|0.0|0|91.25744047619048|0|2.400297619047619|0
0|2020-08-26|0.0|0|0.0|0|104.47916666666667|0|3.2881944444444446|0
0|2020-08-27|0.0|0|0.0|0|74.02777777777779|0|2.7777777777777772|0
0|2020-08-28|0.0|0|0.0|0|59.99305555555555|0|1.9736111111111112|0
0|2020-08-29|0.0|0|0.0|0|154.375|0|5.708333333333333|0
0|2020-08-30|0.0|0|0.0|0|133.95833333333334|0|5.145833333333333|0
0|2020-08-31|0.0001388888888888889|0|0.0001388888888888889|0|70.5138888888889|0|4.1125|0
0|2020-09-01|0.0|0|0.0|0|106.25|0|3.9583333333333335|0
0|2020-09-02|0.0|0|0.0|0|93.09027777777779|0|4.746527777777778|0
0|2020-09-03|0.0|0|0.0|0|55.0|0|7.333333333333333|0
0|2020-09-04|0.0|0|0.0|0|89.16666666666667|0|3.4166666666666665|0
0|2020-09-05|0.0|0|0.0|0|101.04166666666667|0|3.8125|0
0|2020-09-06|0.0|0|0.0|0|48.541666666666664|0|4.0625|0
0|2020-09-07|0.0|0|0.0|0|45.833333333333336|0|8.625|0
0|2020-09-08|0.0|0|0.0|0|73.95833333333333|0|8.8125|0
0|2020-09-09|0.0|0|0.0|0|25.416666666666668|0|5.708333333333333|0
0|2020-09-10|0.0|0|0.0|0|47.5|0|1.4166666666666667|0
0|2020-09-11|0.0|0|0.0|0|166.11111111111111|0|5.5243055555555545|0
0|2020-09-12|0.0|0|0.0|0|39.63888888888889|0|0.8208333333333333|0
0|2020-09-13|0.0|0|0.0|0|25.13888888888889|0|0.4166666666666667|0
0|2020-09-14|0.0|0|0.004861111111111112|0|68.88888888888889|0|2.305555555555556|0
0|2020-09-15|0.0022222222222222222|0|0.0|0|99.5138888888889|0|2.663194444444444|0
0|2020-09-16|0.0001388888888888889|0|0.0004166666666666667|0|88.43055555555556|0|2.770138888888889|0
0|2020-09-17|0.0|0|0.0|0|94.90972222222221|0|3.0180555555555557|0
0|2020-09-18|0.0|0|0.01625|0|155.24305555555557|0|4.517361111111111|0
0|2020-09-19|0.02125|0|0.0008333333333333334|0|216.45833333333334|0|8.083333333333334|0
0|2020-09-20|0.000625|0|0.0|0|134.7222222222222|0|2.8333333333333335|0
0|2020-09-21|0.0|0|0.0|0|123.68055555555556|0|2.701388888888889|0
0|2020-09-22|0.0|0|0.0|0|151.25|0|4.979166666666667|0
0|2020-09-23|0.008749999999999999|0|0.04416666666666667|0|191.45833333333334|0|11.347222222222223|0
0|2020-09-24|0.02125|0|0.010833333333333334|0|192.98611111111111|0|9.631944444444445|0
0|2020-09-25|0.007916666666666667|0|0.02701388888888889|0|199.23611111111111|0|11.472222222222223|0
