|dates|Hand_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hand_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hand_SouthDakota_UnitedStates.Male_Total_Population.data|Hand_SouthDakota_UnitedStates.Male_Total_Population.missing|Hand_SouthDakota_UnitedStates.Female_Total_Population.data|Hand_SouthDakota_UnitedStates.Female_Total_Population.missing|Hand_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Hand_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-06-25|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-26|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-27|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-28|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-29|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-30|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-01|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-02|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-03|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-04|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-05|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-06|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-07|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-08|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-09|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-10|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-11|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-12|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-13|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-14|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-15|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-16|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-17|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-18|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-19|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-20|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-21|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-22|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-23|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-24|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-25|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-26|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-27|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-28|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-29|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-30|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-07-31|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-01|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-02|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-03|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-04|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-05|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-06|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-07|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-08|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-09|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-10|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-11|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-12|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-13|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-14|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-15|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-16|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-17|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-18|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-19|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-20|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-21|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-22|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-23|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-24|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-25|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-26|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-27|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-28|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-29|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-30|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-08-31|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-01|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-02|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-03|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-04|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-05|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-06|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-07|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-08|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-09|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-10|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-11|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-12|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-13|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-14|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-15|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-16|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-17|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-18|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-19|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-20|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-21|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-22|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-23|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-24|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-25|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-26|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-27|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-28|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-29|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-09-30|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-01|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-02|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-03|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-04|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-05|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-06|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-07|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-08|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-09|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-10|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-11|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-12|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-13|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-14|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-15|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-16|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-17|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-18|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-19|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-20|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-21|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-22|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-23|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-24|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-25|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-26|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-27|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-28|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-29|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-30|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-10-31|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-01|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-02|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-03|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-04|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-05|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-06|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-07|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-08|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-09|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-10|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-11|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-12|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-13|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-14|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-15|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-16|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-17|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-11-18|826.0|0|1627.0|0|1635.0|0|715.0|0
