|dates|Tolland_Connecticut_UnitedStates.AveragePrecipitationTotal.data|Tolland_Connecticut_UnitedStates.AveragePrecipitationTotal.missing|Tolland_Connecticut_UnitedStates.AveragePrecipitation.data|Tolland_Connecticut_UnitedStates.AveragePrecipitation.missing|Tolland_Connecticut_UnitedStates.AverageWindDirection.data|Tolland_Connecticut_UnitedStates.AverageWindDirection.missing|Tolland_Connecticut_UnitedStates.AverageWindSpeed.data|Tolland_Connecticut_UnitedStates.AverageWindSpeed.missing
0|2020-06-02|0.0|0|0.0004166666666666667|0|43.75|0|2.0833333333333335|0
0|2020-06-03|0.0004166666666666667|0|0.0|0|140.83333333333334|0|3.8333333333333335|0
0|2020-06-04|0.0|0|0.0|0|115.20833333333333|0|4.354166666666667|0
0|2020-06-05|0.0004166666666666667|0|0.002638888888888889|0|143.75000000000003|0|5.638888888888889|0
0|2020-06-06|0.0025|0|0.008125|0|174.65277777777774|0|5.861111111111112|0
0|2020-06-07|0.011666666666666667|0|0.0|0|161.25|0|7.916666666666667|0
0|2020-06-08|0.0|0|0.0|0|112.5|0|4.208333333333333|0
0|2020-06-09|0.0|0|0.0|0|80.83333333333333|0|3.9166666666666665|0
0|2020-06-10|0.0|0|0.0|0|157.91666666666666|0|6.25|0
0|2020-06-11|0.0|0|0.013083333333333334|0|161.15972222222223|0|8.284722222222221|0
0|2020-06-12|0.016666666666666666|0|0.0|0|129.75694444444446|0|3.8298611111111107|0
0|2020-06-13|0.0|0|0.0|0|263.75|0|7.541666666666667|0
0|2020-06-14|0.0|0|0.0|0|111.66666666666667|0|3.4583333333333335|0
0|2020-06-15|0.0|0|0.0|0|50.694444444444436|0|5.791666666666667|0
0|2020-06-16|0.0|0|0.0|0|99.16666666666667|0|4.291666666666667|0
0|2020-06-17|0.0|0|0.0|0|114.30555555555556|0|4.694444444444445|0
0|2020-06-18|0.0|0|0.0|0|143.68055555555557|0|4.951388888888888|0
0|2020-06-19|0.0|0|0.0|0|142.29166666666666|0|5.902777777777779|0
0|2020-06-20|0.0|0|0.0|0|103.75|0|4.875|0
0|2020-06-21|0.0|0|0.0|0|103.75|0|2.9583333333333335|0
0|2020-06-22|0.0|0|0.05604166666666666|0|63.4375|0|2.5833333333333335|0
0|2020-06-23|0.07208333333333333|0|0.0|0|131.31944444444443|0|6.229166666666667|0
0|2020-06-24|0.0|0|0.0016666666666666668|0|170.29166666666666|0|5.0256944444444445|0
0|2020-06-25|0.0020833333333333333|0|0.0|0|132.5|0|4.333333333333333|0
0|2020-06-26|0.0|0|0.0|0|74.58333333333333|0|2.9583333333333335|0
0|2020-06-27|0.0|0|0.007777777777777778|0|94.16666666666667|0|3.4583333333333335|0
0|2020-06-28|0.0043749999999999995|0|0.0|0|86.40972222222221|0|3.452777777777778|0
0|2020-06-29|0.0|0|0.035486111111111114|0|67.3263888888889|0|4.402777777777778|0
0|2020-06-30|0.020277777777777777|0|0.03174305555555556|0|46.645833333333336|0|3.104861111111111|0
0|2020-07-01|0.01958333333333333|0|0.00725|0|90.90972222222223|0|2.5493055555555557|0
0|2020-07-02|0.003472222222222222|0|0.0|0|93.48214285714285|0|2.0535714285714284|0
0|2020-07-03|0.0|0|0.011319444444444446|0|38.99305555555555|0|5.465277777777779|0
0|2020-07-04|0.0075|0|0.0|0|146.66666666666666|0|5.708333333333333|0
0|2020-07-05|0.0|0|0.0|0|152.1527777777778|0|4.381944444444444|0
0|2020-07-06|0.0|0|0.0008333333333333334|0|98.75|0|4.6875|0
0|2020-07-07|0.0008333333333333334|0|0.0|0|116.875|0|5.0125|0
0|2020-07-08|0.0|0|0.0|0|121.66666666666667|0|4.802083333333333|0
0|2020-07-09|0.0|0|0.0|0|125.20833333333333|0|4.75|0
0|2020-07-10|0.0|0|0.0015277777777777779|0|54.09722222222222|0|5.479166666666667|0
0|2020-07-11|0.0022916666666666667|0|0.0025|0|177.88194444444443|0|11.59375|0
0|2020-07-12|0.0|0|0.0|0|174.27083333333334|0|6.395833333333333|0
0|2020-07-13|0.0004166666666666667|0|0.0004166666666666667|0|100.27777777777779|0|4.423611111111112|0
0|2020-07-14|0.0|0|0.0025|0|95.83333333333333|0|4.666666666666667|0
0|2020-07-15|0.0025|0|0.0|0|68.6111111111111|0|4.097222222222222|0
0|2020-07-16|0.0|0|0.0|0|84.375|0|4.895833333333333|0
0|2020-07-17|0.0005555555555555556|0|0.002916666666666667|0|70.4861111111111|0|2.4791666666666665|0
0|2020-07-18|0.00125|0|0.0|0|59.13194444444445|0|2.3645833333333335|0
0|2020-07-19|0.0|0|0.0|0|117.70833333333333|0|6.104166666666667|0
0|2020-07-20|0.0025|0|0.0014999999999999998|0|135.30555555555554|0|4.908333333333333|0
0|2020-07-21|0.0|0|0.0|0|85.83333333333333|0|2.625|0
0|2020-07-22|0.001388888888888889|0|0.0033333333333333335|0|132.63888888888889|0|4.270833333333333|0
0|2020-07-23|0.0|0|0.015916666666666666|0|115.29166666666667|0|4.479166666666667|0
0|2020-07-24|0.0325|0|0.0|0|99.375|0|2.1875|0
0|2020-07-25|0.0|0|0.0|0|125.41666666666667|0|2.9375|0
0|2020-07-26|0.0|0|0.0|0|122.08333333333333|0|3.7916666666666665|0
0|2020-07-27|0.0|0|0.0|0|131.25|0|4.666666666666667|0
0|2020-07-28|0.0|0|0.00125|0|127.70833333333333|0|2.8333333333333335|0
0|2020-07-29|0.00125|0|0.0|0|96.66666666666667|0|4.791666666666667|0
0|2020-07-30|0.0|0|0.0|0|121.94444444444444|0|3.9444444444444446|0
0|2020-07-31|0.000625|0|0.00125|0|65.41666666666667|0|2.25|0
0|2020-08-01|0.0|0|0.0|0|105.69444444444446|0|3.236111111111111|0
0|2020-08-02|0.0|0|0.0008333333333333334|0|126.66666666666667|0|6.326388888888889|0
0|2020-08-03|0.0016666666666666668|0|0.0|0|205.41666666666666|0|7.0|0
0|2020-08-04|0.0|0|0.005104166666666667|0|123.6111111111111|0|9.850694444444445|0
0|2020-08-05|0.008749999999999999|0|0.0|0|134.375|0|5.3125|0
0|2020-08-06|0.0|0|0.0|0|141.66666666666666|0|3.375|0
0|2020-08-07|0.0|0|0.0|0|117.5|0|3.6666666666666665|0
0|2020-08-08|0.0|0|0.0|0|130.0|0|3.625|0
0|2020-08-09|0.0|0|0.0|0|164.09722222222223|0|5.854166666666667|0
0|2020-08-10|0.0|0|0.0|0|120.625|0|3.6458333333333335|0
0|2020-08-11|0.0|0|0.0|0|156.66666666666666|0|6.930555555555556|0
0|2020-08-12|0.0|0|0.0|0|159.27083333333334|0|4.444444444444445|0
0|2020-08-13|0.010833333333333334|0|0.008708333333333334|0|132.04166666666666|0|2.904166666666667|0
0|2020-08-14|0.0|0|0.0|0|138.75|0|5.625|0
0|2020-08-15|0.0|0|0.0|0|66.25|0|9.208333333333334|0
0|2020-08-16|0.0|0|0.001388888888888889|0|35.27777777777778|0|8.055555555555555|0
0|2020-08-17|0.0008333333333333334|0|0.0|0|189.6527777777778|0|5.583333333333333|0
0|2020-08-18|0.0|0|0.0|0|150.625|0|3.944444444444444|0
0|2020-08-19|0.0|0|0.0|0|96.31944444444446|0|2.6041666666666665|0
0|2020-08-20|0.0|0|0.0|0|108.99305555555556|0|2.930555555555556|0
0|2020-08-21|0.0|0|0.0|0|121.66666666666667|0|5.166666666666667|0
0|2020-08-22|0.0|0|0.0|0|22.083333333333332|0|2.2916666666666665|0
0|2020-08-23|0.0|0|0.0|0|95.66964285714285|0|5.114583333333333|0
0|2020-08-24|0.0|0|0.0|0|85.34722222222221|0|2.534722222222222|0
0|2020-08-25|0.0|0|0.0|0|188.64583333333334|0|6.3125|0
0|2020-08-26|0.0|0|0.0|0|256.25|0|7.708333333333333|0
0|2020-08-27|0.0|0|0.0|0|58.47222222222222|0|2.8055555555555554|0
0|2020-08-28|0.0|0|0.0|0|149.80555555555557|0|4.233333333333333|0
0|2020-08-29|0.0|0|0.0|0|68.71527777777779|0|2.1215277777777777|0
0|2020-08-30|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-08-31|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-09-01|0.0|0|0.0|0|62.916666666666664|0|3.25|0
0|2020-09-02|0.0|0|0.004950396825396826|0|70.31845238095238|0|2.864285714285714|0
0|2020-09-03|0.007916666666666667|0|0.0|0|133.22916666666666|0|2.8854166666666665|0
0|2020-09-04|0.0|0|0.0|0|180.625|0|5.0|0
0|2020-09-05|0.0|0|0.0|0|112.08333333333333|0|3.4166666666666665|0
0|2020-09-06|0.0|0|0.0|0|91.25|0|3.5416666666666665|0
0|2020-09-07|0.0|0|0.0|0|74.70833333333333|0|4.4375|0
0|2020-09-08|0.0|0|0.0|0|95.06944444444446|0|2.85|0
0|2020-09-09|0.0|0|0.0|0|77.08333333333333|0|2.1666666666666665|0
0|2020-09-10|0.0|0|0.0008333333333333334|0|81.84027777777777|0|2.774305555555556|0
0|2020-09-11|0.00125|0|0.0|0|93.26388888888887|0|5.104166666666667|0
0|2020-09-12|0.0|0|0.0|0|53.125|0|3.5208333333333335|0
0|2020-09-13|0.0|0|0.0|0|103.68055555555556|0|4.708333333333333|0
0|2020-09-14|0.0|0|0.0|0|266.6666666666667|0|7.854166666666667|0
0|2020-09-15|0.0|0|0.0|0|71.66666666666667|0|2.625|0
0|2020-09-16|0.0|0|0.0|0|83.95833333333333|0|4.041666666666667|0
0|2020-09-17|0.0|0|0.0|0|101.31944444444444|0|3.6666666666666665|0
0|2020-09-18|0.0|0|0.0|0|153.95833333333334|0|9.09375|0
0|2020-09-19|0.0|0|0.0|0|191.25|0|6.791666666666667|0
0|2020-09-20|0.0|0|0.0|0|40.833333333333336|0|6.5|0
0|2020-09-21|0.0|0|0.0|0|42.5|0|4.583333333333333|0
0|2020-09-22|0.0|0|0.0|0|180.41666666666666|0|5.208333333333333|0
0|2020-09-23|0.0|0|0.0|0|163.61111111111111|0|4.888888888888888|0
0|2020-09-24|0.0|0|0.0|0|89.44444444444444|0|2.9583333333333335|0
0|2020-09-25|0.0|0|0.0|0|55.76388888888889|0|2.5625|0
0|2020-09-26|0.0|0|0.0|0|108.68055555555554|0|4.097222222222222|0
0|2020-09-27|0.0|0|0.0004166666666666667|0|100.55555555555554|0|4.059027777777778|0
0|2020-09-28|0.0|0|0.0004166666666666667|0|172.0138888888889|0|7.270833333333333|0
0|2020-09-29|0.0|0|0.0|0|149.16666666666666|0|6.4375|0
0|2020-09-30|0.005902777777777778|0|0.027361111111111114|0|181.97916666666666|0|10.475694444444445|0
0|2020-10-01|0.0|0|0.0|0|76.66666666666667|0|3.5416666666666665|0
0|2020-10-02|0.0|0|0.0|0|87.36111111111113|0|2.0833333333333335|0
0|2020-10-03|0.0|0|0.0|0|82.46924603174602|0|1.8044642857142856|0
0|2020-10-04|0.0|0|0.0|0|61.77777777777777|0|2.6166666666666667|0
0|2020-10-05|0.0|0|0.0|0|92.66666666666667|0|3.7430555555555554|0
0|2020-10-06|0.0|0|0.0|0|74.93055555555556|0|3.6458333333333335|0
0|2020-10-07|0.0|0|0.0|0|154.16666666666666|0|7.333333333333333|0
0|2020-10-08|0.0|0|0.0|0|258.3333333333333|0|9.75|0
0|2020-10-09|0.0|0|0.0|0|131.66666666666666|0|4.208333333333333|0
