|dates|Henry_Indiana_UnitedStates.BLS_EmployedPopulation.data|Henry_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Henry_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Henry_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Henry_Indiana_UnitedStates.BLS_UnemploymentRate.data|Henry_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Henry_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Henry_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-04-24|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-25|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-26|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-27|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-28|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-29|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-30|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-05-01|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-02|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-03|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-04|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-05|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-06|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-07|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-08|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-09|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-10|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-11|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-12|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-13|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-14|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-15|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-16|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-17|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-18|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-19|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-20|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-21|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-22|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-23|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-24|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-25|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-26|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-27|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-28|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-29|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-30|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-05-31|19215.0|0|2696.0|0|12.304322030030578|0|21911.0|0
0|2020-06-01|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-02|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-03|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-04|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-05|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-06|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-07|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-08|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-09|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-10|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-11|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-12|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-13|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-14|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-15|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-16|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-17|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-18|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-19|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-20|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-21|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-22|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-23|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-24|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-25|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-26|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-27|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-28|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-29|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-06-30|19928.0|0|2000.0|0|9.120758847136083|0|21928.0|0
0|2020-07-01|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-02|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-03|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-04|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-05|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-06|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-07|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-08|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-09|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-10|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-11|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-12|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-13|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-14|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-15|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-16|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-17|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-18|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-19|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-20|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-21|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-22|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-23|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-24|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-25|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-26|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-27|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-28|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-29|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-30|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-07-31|20120.0|0|1632.0|0|7.502758367046709|0|21752.0|0
0|2020-08-01|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-02|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-03|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-04|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-05|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-06|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-07|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-08|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-09|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-10|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-11|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-12|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-13|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-14|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-15|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-16|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-17|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-18|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-19|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-20|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-21|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-22|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-23|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-24|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-25|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-26|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-27|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-28|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-29|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-30|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-08-31|20588.0|0|1341.0|0|6.115189931141411|0|21929.0|0
0|2020-09-01|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-02|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-03|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-04|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-05|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-06|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-07|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-08|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-09|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-10|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-11|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-12|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-13|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-14|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-15|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-16|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-17|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-18|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-19|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-20|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-21|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-22|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-23|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-24|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-25|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-26|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
0|2020-09-27|20632.0|0|1084.0|0|4.991711180696261|0|21716.0|0
