|dates|Logan_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Logan_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Logan_NorthDakota_UnitedStates.Male_Total_Population.data|Logan_NorthDakota_UnitedStates.Male_Total_Population.missing|Logan_NorthDakota_UnitedStates.Female_Total_Population.data|Logan_NorthDakota_UnitedStates.Female_Total_Population.missing|Logan_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Logan_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-06-16|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-17|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-18|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-19|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-20|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-21|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-22|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-23|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-24|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-25|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-26|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-27|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-28|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-29|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-30|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-01|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-02|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-03|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-04|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-05|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-06|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-07|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-08|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-09|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-10|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-11|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-12|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-13|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-14|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-15|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-16|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-17|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-18|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-19|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-20|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-21|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-22|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-23|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-24|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-25|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-26|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-27|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-28|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-29|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-30|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-07-31|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-01|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-02|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-08-03|494.0|0|983.0|0|920.0|0|438.0|0
